,Sample Name,Vultologist,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Sex,Age Range,Geography,Ethnicity,R1 Rigid Posture,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions,sum,Lead Energetic,Quadra,Candid Score,Measured Score,Grounded Score,Suspended Score,J-Axis Coordinate,P-Axis Coordinate
3,Ben Stein,Calin Copil,site,i---,guarded,2.0,low,low,male,1940s,north_america,jewish,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,7.0,7.0,2.0,0.0,7.0,2.0,2.0,0.0,7.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,114.0,Pi,Delta,21.0,4.0,6.0,13.0,-0.68,0.3684210526315789
4,Billie Joe Armstrong,Peter Foy,fise,ii-i,neutral,0.0,low,medium,male,1970s,north_america,white/european,4.0,7.0,2.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,7.0,4.0,4.0,7.0,0.0,2.0,4.0,4.0,0.0,4.0,7.0,2.0,2.0,4.0,4.0,7.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,7.0,7.0,7.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,4.0,211.0,Ji,Gamma,33.0,8.0,31.0,18.0,-0.6097560975609756,-0.2653061224489796
6,Megyn Kelly,Peter Foy,feni,i---,neutral,0.0,low,low,female,1970s,north_america,white/european,7.0,7.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,7.0,7.0,2.0,7.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,7.0,4.0,4.0,7.0,2.0,7.0,4.0,4.0,0.0,7.0,2.0,2.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,7.0,2.0,181.0,Je,Beta,12.0,39.0,24.0,8.0,0.5294117647058824,-0.5
7,Chloe Sevigny,Calin Copil,tesi,i-ii,neutral,0.0,low,medium,female,1970s,north_america,white/european,7.0,4.0,2.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,2.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,7.0,7.0,7.0,4.0,0.0,2.0,7.0,7.0,2.0,2.0,4.0,4.0,7.0,7.0,7.0,2.0,0.0,7.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,0.0,2.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,214.0,Je,Delta,42.0,13.0,18.0,25.0,-0.5272727272727272,0.16279069767441862
8,Philip Ovadia,Calin Copil,sife,i---,unguarded,1.0,low,low,male,-1,north_america,white/european,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0,2.0,0.0,4.0,2.0,7.0,7.0,2.0,0.0,7.0,2.0,2.0,0.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,141.0,Pi,Alpha,10.0,28.0,2.0,25.0,0.47368421052631576,0.8518518518518519
9,Kat Von D,Calin Copil,sefi,iii-,neutral,1.0,medium,low,female,1980s,north_america,hispanic/latino,4.0,4.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,2.0,7.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,7.0,0.0,7.0,4.0,7.0,4.0,2.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,210.0,Pe,Gamma,26.0,18.0,35.0,14.0,-0.18181818181818182,-0.42857142857142855
14,Maggie Lindemann,Calin Copil,sefi,ii--,neutral,0.0,low,low,female,1990s,north_america,white/european,4.0,4.0,2.0,2.0,0.0,4.0,2.0,4.0,7.0,4.0,4.0,7.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,4.0,7.0,4.0,2.0,2.0,7.0,7.0,7.0,7.0,4.0,2.0,7.0,4.0,7.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,7.0,0.0,4.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,198.0,Pe,Gamma,47.0,8.0,29.0,4.0,-0.7090909090909091,-0.7575757575757576
15,Klee Irwin,Juan E. Sandoval,feni,i-ii,unguarded,1.0,low,high,male,1960s,north_america,white/european,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,7.0,4.0,2.0,0.0,2.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,7.0,2.0,4.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,4.0,2.0,4.0,7.0,7.0,7.0,2.0,4.0,7.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,0.0,2.0,7.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,197.0,Je,Beta,8.0,46.0,27.0,21.0,0.7037037037037037,-0.125
16,Mario Sznajder,Calin Copil,sife,ii--,neutral,1.0,low,low,male,1940s,latin_america,jewish,0.0,2.0,2.0,2.0,0.0,4.0,2.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,7.0,4.0,2.0,2.0,7.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,154.0,Pi,Alpha,4.0,29.0,4.0,22.0,0.7575757575757576,0.6923076923076923
17,Amalie Bruun,Calin Copil,fine,ii-i,neutral,2.0,high,low,female,1980s,western_europe,white/european,7.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,7.0,0.0,2.0,2.0,4.0,0.0,4.0,2.0,4.0,2.0,4.0,7.0,4.0,4.0,2.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,7.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,7.0,7.0,2.0,7.0,2.0,2.0,4.0,0.0,2.0,4.0,2.0,2.0,2.0,4.0,216.0,Ji,Delta,36.0,27.0,8.0,31.0,-0.14285714285714285,0.5897435897435898
