"Post Title",Author,Bio,"Video URL","Video 2 URL","Video 3 URL","GIF Breakdown",Status,Type,Development,Emotions,"Fallen Affect","J Signal Mixing","P Signal Mixing",Alternative,Sex,"Age Range",Geography,Ethnicity,Checkbox,"Checkbox 1","R1 Rigid Posture Copy","R2 Face Centric","R3 Punctuated Motions","R4 Vertical Movements","R5 Subordinate Fluidity","F1 Fluid Posture","F2 Eye Centric","F3 Gliding Motions","F4 Horizontal Movements","F5 Subordinate Rigidity","PF1 Restless Momentum","PF2 Toggling Eyes","PF3 Body Swaying","PF4 Casual Hands","PF5 Alert Perk Ups","RF1 Viscous Inertia","RF2 Fixed Gaze","RF3 Diagonal Eye Drifts","RF4 Searching Scowling","RF5 Narrow Head Zoning","PR1 Head Pushes","PR2 Head Shakes","PR3 Shoulder Shrugs","PR4 Fluent Articulation","PR5 Projecting Hands","RR1 Poised Receding","RR2 Disengaging Eyes","RR3 Exerted Pushes","RR4 Momentum Halting","RR5 Meticulous Hands","CA1 Taut Nasolabial Area","CA2 Vertical Snarling Smiles","CA3 Four Point Pulling","CA4 Wobbling Lips","CA5 Asymmetrical Smirks","CA6 Sassy Movements","CA7 Plateau Velocity","CA8 Nasal Breathy Voice","CA9 Grasping Hands","MS1 Lax Nasolabial Area","MS2 Horizontal Curtain Smiles","MS3 Two Point Pulling","MS4 Symmetrical Lips","MS5 Emotional Neutralization","MS6 Coordinated Movements","MS7 Parabolic Velocity","MS8 Laryngeal Faint Voice","MS9 Puppeteer Hands","GR1 Taut Preseptal Area","GR2 Lax Pretarsal Area","GR3 Taut Outer Edges","GR4 Intense Scowling","GR5 Pointed Eye Toggles","GR6 Eye Head Parallel Motion","GR7 Grounding Effect","GR8 Bodily Awareness","SU1 Lax Preseptal Area","SU2 Taut Pretarsal Area","SU3 Lax Outer Edges","SU4 Concerned Scowling","SU5 Brushstrokes Eye Toggles","SU6 Eye Head Trailing Motions","SU7 Levity Effect","SU8 Quirky Skits","EU1 Responsive Nodding","EU2 Polite Smiling","EU3 Bashful Body Movements","EG1 Upset Mouth Tension","EG2 Assertive Pushing","EG3 Stern Expressions"
"Janina Ramirez","Sierra Schwartz","Dr. Janina Ramirez is a distinguished art historian, broadcaster, and author, celebrated for her expertise in medieval history and her ability to bring the past to life for diverse audiences. A Fellow of the Royal Historical Society, she has presented numerous acclaimed BBC documentaries, such as Treasures of the Anglo-Saxons and Chivalry and Betrayal: The Hundred Years' War. Dr. Ramirez earned her doctorate from the University of York, focusing on medieval symbolism, and has since authored several books, including the bestselling Femina. She is committed to uncovering hidden narratives, particularly those of women, in historical research.",https://www.youtube.com/watch?v=7I8ocwXM9tw,https://www.youtube.com/watch?v=nkbUTbBJRdk,https://www.youtube.com/watch?v=V9j7XBnUpKU&t=652s,https://docs.google.com/document/d/1csuIkMFoA2g_1enn7n7bY85s8A_FO6rYGa9TVmrBVEg/edit?usp=sharing,,tesi,i-i-,seelie,0,low,low,,female,1980s,western_europe,white/european,,,2,4,4,7,4,4,2,2,4,,4,4,4,2,4,,2,2,0,,7,4,2,7,7,2,,2,2,,4,4,4,4,4,7,7,4,4,,,,,,2,2,,,,,,,,,,,4,7,4,4,4,2,4,2,4,4,2,,2,
"Zeena Schreck","Sierra Schwartz","Zeena Schreck (née LaVey) is an artist, musician, and spiritual teacher, known for her role in modern occult and esoteric movements. Born in 1963 to Anton LaVey, founder of the Church of Satan, Zeena initially gained prominence as the church’s spokesperson. However, she later renounced her father's ideology and became a practitioner of Tibetan Tantric Buddhism, focusing on spiritual practices and animal rights advocacy. Zeena is also a multidisciplinary artist, incorporating her esoteric insights into her music, visual art, and teachings on spiritual liberation.",https://www.youtube.com/watch?v=hurX8Tp3Mys,https://www.youtube.com/watch?v=EmWXuEKTLcY&t=4493s,https://www.youtube.com/watch?v=oT2jyy97wns&t=309s,https://docs.google.com/document/d/1nU_Mn4A9dS8xjM1QfRLEjMZZIG5nyF2LFC2Q3TawUpo/edit,,fise,i-i-,unseelie,3,high,low,"TiSe I-I-",female,1960s,north_america,white/european,,"calin_copil | ash_rose | ahmad_aldroubi | viktoriya_g.",4,7,4,4,4,,,2,2,,,2,2,4,,4,4,7,4,4,2,2,2,2,4,7,7,4,4,4,2,4,7,4,4,4,4,,,2,2,2,2,4,4,2,4,2,4,4,4,4,2,2,2,,,,,2,,,,2,2,2,,2,2,2
"Sandra Lee ""Dr. Pimple Popper""","Sierra Schwartz","Dr. Sandra Lee, widely known as Dr. Pimple Popper, is a board-certified dermatologist, skin cancer surgeon, and cosmetic surgeon. Based in Southern California, she gained international fame for her expertise in treating challenging skin conditions, showcased on her hit TLC show and YouTube channel. A graduate of UCLA and Drexel University College of Medicine, Dr. Lee is celebrated for her engaging personality, educational content, and commitment to improving patients’ lives through dermatological care.",https://www.youtube.com/watch?v=6r-7ke3bPWI,https://www.youtube.com/watch?v=QegxWeEF2v8&t=20s,https://www.youtube.com/watch?v=KO0D8j57ugc&t=572s,https://docs.google.com/document/d/1FoNISiu6Bbk7mGgI7y3jysB4vO-MsJJmN2sbms_3WgQ/edit?usp=sharing,,teni,i-i-,seelie,0,low,low,,female,1970s,north_america,han_chinese,,peter_j._foy,7,4,7,4,4,,,2,4,,4,7,2,4,7,,2,2,,,4,2,2,7,7,2,4,2,2,2,4,7,7,7,4,4,2,4,7,,,,,,4,4,,2,4,2,7,,7,2,,2,,,,2,2,,,,4,7,2,2,2,
"Johnny Depp","Ash Rose","Johnny Depp (born June 9, 1963, in Owensboro, Kentucky, USA) is an acclaimed American actor, producer, and musician. He rose to fame in the 1980s with his role on the television series “21 Jump Street”, which established him as a teen idol. Depp transitioned into a career as a leading actor in film, gaining critical recognition for his portrayals of eccentric characters in collaborations with director Tim Burton, such as Edward Scissorhands (1990), Ed Wood (1994), and Sleepy Hollow (1999).

Depp achieved global fame for his portrayal of Captain Jack Sparrow in Disney’s “Pirates of the Caribbean” franchise (2003–2017), earning widespread acclaim and several award nominations. His filmography includes notable roles in “Finding Neverland” (2004), “Charlie and the Chocolate Factory” (2005), “Sweeney Todd” (2007), and “Fantastic Beasts” films. Known for his versatility, Depp has received multiple awards, including a Golden Globe for Best Actor.

Beyond acting, Depp is a musician and has performed with bands such as Hollywood Vampires, which he co-founded with Alice Cooper and Joe Perry. His career has also involved ventures into film production through his company, Infinitum Nihil.

Depp’s personal life has garnered significant media attention, including his relationships, legal battles, and advocacy for various humanitarian causes. Despite controversies, he remains one of Hollywood’s most influential and iconic figures.",https://www.youtube.com/watch?v=Z61poirKUwQ,https://www.youtube.com/watch?v=yvJoujHrE7Y,https://www.youtube.com/watch?v=y1JbkoCmebM,https://docs.google.com/document/d/17csaWSjQKPyJR77ZSPZCKSjW4cw2DFByFdodtjrj_vI/edit?usp=sharing,,tise,iii-,neutral,2,low,low,"TiSe III-",male,1960s,north_america,white/european,,"juan_e._sandoval | calin_copil",4,4,4,4,4,2,2,,4,,2,4,2,4,4,4,4,4,7,2,2,2,2,,4,4,4,7,4,7,,,,,2,,,,,7,4,4,4,7,4,4,7,4,0,4,2,7,2,4,4,7,4,,,2,2,2,,2,4,4,2,4,,2
"Pierre Poilievre","Peter Foy","Pierre Poilievre is a Canadian politician and leader of the Conservative Party of Canada set to challenge the current Liberal government led by Prime Minister Justin Trudeau in the upcoming federal election scheduled for 2025. He entered politics as the youngest Member of Parliament in 2004 and has become a prominent figure in recent years for his outspoken critiques of Prime Minister Justin Trudeau's policies. Known for his combative and populist style, Poilievre emphasizes economic freedom, democratic reform, and government accountability, often appealing to working-class Canadians with his ""common sense"" mantra​.",https://www.youtube.com/watch?v=noIgE8MHsLA&t=12s,https://www.youtube.com/watch?v=vZz6D81gy8U&t=17s,https://www.youtube.com/watch?v=ZE1ha0L7160&t=37s,,,tesi,ii--,unseelie,1,low,medium,,male,1970s,north_america,white/european,,"calin_copil | peter_j._foy | miriam_greenfield",7,7,7,7,4,2,,,,,,2,2,2,2,2,7,4,,7,7,7,2,4,7,2,,,,2,7,4,7,7,2,4,4,7,2,,2,,0,,4,,0,,2,,4,2,2,2,,,7,4,4,4,2,2,,,2,2,,4,7,2
"Jesse James West","Peter Foy","Jesse James West is a fitness influencer, YouTuber, and entrepreneur known for his high-energy content, humor, and workout challenges. He inspires millions by showcasing his fitness journey, collaborations with athletes, and engaging lifestyle vlogs. Jesse combines practical fitness advice with entertainment, making health and fitness accessible to a broad audience. With a focus on positivity and motivation, he has built a loyal community and established himself as a rising star in the fitness industry.",https://www.youtube.com/watch?v=NkwNpKjeYyo,https://www.youtube.com/watch?v=nPF6n7e7Lkk,https://www.youtube.com/watch?v=_sh2yK_AfF0,,,teni,i-i-,neutral,0,low,low,,male,1990s,north_america,white/european,,peter_j._foy,7,7,2,4,7,,,4,2,,2,7,2,4,7,,2,2,,4,7,4,2,7,7,2,4,2,,2,4,7,7,2,4,7,7,4,,2,2,2,2,,,,,,7,2,7,,7,4,4,4,,4,,,,,,2,4,7,,2,4,
"Bobby Azarian","Calin Copil","Bobby Azarian is a cognitive neuroscientist, science writer, and author of The Romance of Reality. His work explores consciousness, the evolution of intelligence, and the human quest for meaning. Azarian’s articles have been featured in Psychology Today, Scientific American, and The Atlantic. Known for blending neuroscience and philosophy, he emphasizes the purposeful nature of the universe and the role of collective intelligence in societal progress.",https://www.youtube.com/watch?v=uPPiWygW1dQ,https://www.youtube.com/watch?v=YjT-WOLwYMs,https://www.youtube.com/watch?v=CodZrYhSnVw,,,sife,iiii,neutral,1,high,low,III-,male,-1,north_america,white/european,,"calin_copil | peter_j._foy",4,2,4,2,,2,2,2,7,7,2,2,2,7,2,4,4,4,2,4,4,2,2,4,4,2,4,4,4,4,4,,4,2,2,2,4,4,4,,7,4,2,4,4,4,4,4,2,4,,,2,,,2,7,4,7,4,4,2,2,,2,2,,0,4,2
"Marion Cotillard","Peter Foy","Marion Cotillard is a French actress celebrated for her magnetic screen presence and emotionally captivating performances. She gained international acclaim with her Oscar-winning role in La Vie en Rose (2007) and delivered memorable performances in Inception (2010), The Dark Knight Rises (2012), and Rust and Bone (2012). Known for her natural elegance and sensuality, Cotillard has become a timeless icon in global cinema.",https://www.youtube.com/watch?v=iKk_NHyCZQo&t=293s,https://www.youtube.com/watch?v=wa9YYcDrv8s,https://www.youtube.com/watch?v=HDy1U_njApo,https://docs.google.com/document/d/1m3cM5HuQKa-HhsBozQ3GxP15H2BIceJOxK43Eng1znY/edit?usp=sharing,,fise,iiii,seelie,0,medium,low,"Other developments. See breakdown for more",female,1970s,western_europe,white/european,,"calin_copil | peter_j._foy | robert_geary",7,4,2,4,2,2,,4,4,,4,4,4,4,4,2,7,7,2,2,4,4,2,2,4,7,7,2,4,7,2,7,4,2,0,7,4,2,2,4,2,2,4,2,2,2,,4,7,4,7,2,7,7,4,7,,2,2,,,,,2,7,7,7,,,
"Tim Lambesis","Calin Copil","Tim Lambesis is the lead vocalist of the American metalcore band As I Lay Dying, known for his powerful growls and lyrical themes exploring personal struggles and spirituality. Born in 1980, Lambesis co-founded the band in 2000, achieving significant success in the metal scene. His career faced controversy in 2013 when he was arrested and later convicted for soliciting a murder-for-hire plot. After serving his sentence, Lambesis rejoined the band, focusing on redemption and creative resurgence in his music. Outside of music, he is passionate about bodybuilding and coaching through his program, Metal Made Muscle.",https://www.youtube.com/watch?v=-sMAOK_EXYY,https://www.youtube.com/watch?v=JurLUmdm4PI,https://www.youtube.com/watch?v=QuVPbrBNvyI,,,tise,i-ii,neutral,3,low,low,"Other developments",male,1980s,north_america,white/european,,"calin_copil | peter_j._foy | viktoriya_g.",4,7,4,4,4,2,2,2,7,0,2,2,2,7,,4,4,2,2,4,2,2,2,4,7,4,4,7,4,7,,,,,,,,,,2,2,2,7,7,2,7,7,4,4,7,7,2,4,,4,4,2,,,,,,,,2,2,,2,2,4
"Aaron Doughty","Calin Copil","Aaron Doughty is a spiritual teacher, content creator, and self-help influencer known for his work in personal development, law of attraction, and raising consciousness. Through YouTube videos, podcasts, and courses, he shares insights on shifting limiting beliefs, manifesting desires, and achieving self-empowerment. His teachings often combine spirituality with practical tools, focusing on vibrational alignment and self-awareness for creating a fulfilling and intentional life.",https://www.youtube.com/watch?v=79INohJ7KTw,https://www.youtube.com/watch?v=aP5q0dXmG2c,https://www.youtube.com/watch?v=8K1z940roms,,,fesi,i-i-,neutral,0,medium,low,,male,1980s,north_america,white/european,,calin_copil,7,7,7,7,7,2,2,4,7,,4,2,4,7,4,,2,2,4,4,7,7,2,7,7,2,4,,2,2,4,,4,2,0,4,4,4,2,2,7,4,4,4,4,7,2,2,2,,2,,4,2,,2,7,7,4,4,4,2,4,2,2,2,,0,4,2
