,Sample Name,Vultologist,Type,Development,Emotions,Fallen Affect,J Signal Mixing,P Signal Mixing,Sex,Age Range,Geography,Ethnicity,R1 Rigid Posture,R2 Face Centric,R3 Punctuated Motions,R4 Vertical Movements,R5 Subordinate Fluidity,F1 Fluid Posture,F2 Eye Centric,F3 Gliding Motions,F4 Horizontal Movements,F5 Subordinate Rigidity,PF1 Restless Momentum,PF2 Toggling Eyes,PF3 Body Swaying,PF4 Casual Hands,PF5 Alert Perk Ups,RF1 Viscous Inertia,RF2 Fixed Gaze,RF3 Diagonal Eye Drifts,RF4 Searching Scowling,RF5 Narrow Head Zoning,PR1 Head Pushes,PR2 Head Shakes,PR3 Shoulder Shrugs,PR4 Fluent Articulation,PR5 Projecting Hands,RR1 Poised Receding,RR2 Disengaging Eyes,RR3 Exerted Pushes,RR4 Momentum Halting,RR5 Meticulous Hands,CA1 Taut Nasolabial Area,CA2 Vertical Snarling Smiles,CA3 Four Point Pulling,CA4 Wobbling Lips,CA5 Asymmetrical Smirks,CA6 Sassy Movements,CA7 Plateau Velocity,CA8 Nasal Breathy Voice,CA9 Grasping Hands,MS1 Lax Nasolabial Area,MS2 Horizontal Curtain Smiles,MS3 Two Point Pulling,MS4 Symmetrical Lips,MS5 Emotional Neutralization,MS6 Coordinated Movements,MS7 Parabolic Velocity,MS8 Laryngeal Faint Voice,MS9 Puppeteer Hands,GR1 Taut Preseptal Area,GR2 Lax Pretarsal Area,GR3 Taut Outer Edges,GR4 Intense Scowling,GR5 Pointed Eye Toggles,GR6 Eye Head Parallel Motion,GR7 Grounding Effect,GR8 Bodily Awareness,SU1 Lax Preseptal Area,SU2 Taut Pretarsal Area,SU3 Lax Outer Edges,SU4 Concerned Scowling,SU5 Brushstrokes Eye Toggles,SU6 Eye Head Trailing Motions,SU7 Levity Effect,SU8 Quirky Skits,EU1 Responsive Nodding,EU2 Polite Smiling,EU3 Bashful Body Movements,EG1 Upset Mouth Tension,EG2 Assertive Pushing,EG3 Stern Expressions,sum,Lead Energetic,Quadra
0,Cœur de Pirate,Miriam Greenfield,sefi,iii-,unguarded,0.0,low,medium,female,1980s,north_america,white/european,4.0,2.0,4.0,2.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,7.0,4.0,7.0,4.0,0.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,2.0,7.0,4.0,4.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,7.0,0.0,4.0,0.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,2.0,207.0,Pe,Gamma
1,Michael Gervais,Calin Copil,fesi,i---,neutral,1.0,low,low,male,-1,north_america,white/european,7.0,7.0,7.0,7.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,2.0,4.0,2.0,7.0,7.0,4.0,7.0,7.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,2.0,2.0,0.0,0.0,4.0,4.0,2.0,2.0,4.0,2.0,209.0,Je,Alpha
2,Joan Jett,Calin Copil,seti,i-i-,guarded,2.0,low,low,female,1950s,north_america,white/european,2.0,2.0,4.0,4.0,0.0,4.0,7.0,2.0,7.0,4.0,2.0,7.0,7.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,2.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,4.0,205.0,Pe,Beta
3,Ben Stein,Calin Copil,site,i---,guarded,2.0,low,low,male,1940s,north_america,jewish,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,7.0,7.0,2.0,0.0,7.0,2.0,2.0,0.0,7.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,2.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,114.0,Pi,Delta
4,Billie Joe Armstrong,Peter Foy,fise,ii-i,neutral,0.0,low,medium,male,1970s,north_america,white/european,4.0,7.0,2.0,4.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,7.0,4.0,4.0,7.0,0.0,2.0,4.0,4.0,0.0,4.0,7.0,2.0,2.0,4.0,4.0,7.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,7.0,7.0,7.0,2.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,4.0,211.0,Ji,Gamma
5,Dean Schneider,Ahmad Aldroubi,seti,i-i-,unguarded,0.0,low,low,male,1990s,western_europe,white/european,0.0,2.0,2.0,4.0,0.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,4.0,4.0,7.0,2.0,0.0,2.0,0.0,2.0,4.0,4.0,4.0,4.0,7.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,7.0,4.0,7.0,7.0,2.0,4.0,7.0,2.0,7.0,2.0,7.0,4.0,7.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,217.0,Pe,Beta
6,Megyn Kelly,Peter Foy,feni,i---,neutral,0.0,low,low,female,1970s,north_america,white/european,7.0,7.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,7.0,7.0,2.0,7.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,7.0,4.0,4.0,7.0,2.0,7.0,4.0,4.0,0.0,7.0,2.0,2.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,7.0,2.0,181.0,Je,Beta
7,Chloe Sevigny,Calin Copil,tesi,i-ii,neutral,0.0,low,medium,female,1970s,north_america,white/european,7.0,4.0,2.0,4.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,2.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,4.0,7.0,7.0,7.0,4.0,0.0,2.0,7.0,7.0,2.0,2.0,4.0,4.0,7.0,7.0,7.0,2.0,0.0,7.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,0.0,2.0,7.0,4.0,4.0,4.0,2.0,2.0,4.0,214.0,Je,Delta
8,Philip Ovadia,Calin Copil,sife,i---,unguarded,1.0,low,low,male,-1,north_america,white/european,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0,2.0,0.0,4.0,2.0,7.0,7.0,2.0,0.0,7.0,2.0,2.0,0.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,141.0,Pi,Alpha
9,Kat Von D,Calin Copil,sefi,iii-,neutral,1.0,medium,low,female,1980s,north_america,hispanic/latino,4.0,4.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,2.0,7.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,7.0,0.0,7.0,4.0,7.0,4.0,2.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,210.0,Pe,Gamma
10,Eberechi Eze,Calin Copil,seti,i--i,neutral,0.0,low,low,male,1990s,western_europe,black/african,2.0,2.0,0.0,2.0,0.0,7.0,7.0,4.0,7.0,2.0,2.0,7.0,4.0,7.0,4.0,7.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,0.0,2.0,208.0,Pe,Beta
